identifier,id-values,id-weight,id-category
question1e,values1e,weight122,category1e
question1f,values1f,weight122,category1f
question2e,values2e,weight231,category2e
question2f,values2f,weight231,category2f
question3e,values3e,weight113,category3e
question3f,values3f,weight113,category3f
question4e,values4e,weight113,category4e
question4f,values4f,weight113,category4f
question5e,values5e,weight113,category5e
question5f,values5f,weight113,category5f
question6e,values6e,weight113,category6e
question6f,values6f,weight113,category6f
question7e,values7e,weight123,category7e
question7f,values7f,weight123,category7f
question8e,values8e,weight123,category8e
question8f,values8f,weight123,category8f
question9e,values9e,weight221,category9e
question9f,values9f,weight221,category9f
question10e,values10e,weight221,category10e
question10f,values10f,weight221,category10f
question11e,values11e,weight221,category11e
question11f,values11f,weight221,category11f
question12e,values12e,weight221,category12e
question12f,values12f,weight221,category12f